method,k,fraction,coverage,quality,redundancy
Random,52,0.65,1.0,0.9949286975264943,0.6890475407175262
Random,53,0.6625,1.0,0.9950243824788245,0.685024165800495
Random,54,0.675,1.0,0.9951055144122464,0.6884908959615058
Random,55,0.6875,1.0,0.9950816250108923,0.6927594722593465
Random,56,0.7,1.0,0.9951694531356977,0.6868077218350974
Random,57,0.7125,1.0,0.9951886680961654,0.6835336016296808
Random,58,0.725,1.0,0.9951983048436678,0.6910456408792416
Random,59,0.7375,1.0,0.9951880379027919,0.6956635840320909
Random,60,0.75,1.0,0.9952560421491276,0.6971745444163925
Random,61,0.7625,1.0,0.9953181494251625,0.6958954300814918
Random,62,0.775,1.0,0.9953873837655905,0.6968001247736635
Random,63,0.7875,1.0,0.9953970473065274,0.7060698435732614
Random,64,0.8,1.0,0.9953911578286807,0.7098913558583961
Random,65,0.8125,1.0,0.9954114558054056,0.7125271616926936
Random,66,0.825,1.0,0.9954580854293995,0.7111305459249168
Random,67,0.8375,1.0,0.9953740917435067,0.7097379330945505
Random,68,0.85,1.0,0.9954352264237493,0.7138404640869295
Random,69,0.8625,1.0,0.9954975933714738,0.7181576997251418
Random,70,0.875,1.0,0.9955250454886388,0.7150458605939938
Random,71,0.8875,1.0,0.9955844404927994,0.7167423681006935
Random,72,0.9,1.0,0.9956183887838647,0.719166526023739
Random,73,0.9125,1.0,0.995663471074129,0.7207451438192326
Random,74,0.925,1.0,0.9956931278177155,0.7227495317122602
Random,75,0.9375,1.0,0.9956848100651494,0.7236254335612751
Random,76,0.95,1.0,0.9955454714892893,0.7191610741342597
Random,77,0.9625,1.0,0.9956020203351468,0.7194175028666296
Random,78,0.975,1.0,0.9956402780007465,0.7206654901231244
Random,79,0.9875,1.0,0.9956668258306243,0.7180975981197245
Random,80,1.0,1.0,0.9957156180149047,0.7216681152708333
